Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
FaZe Clan,Cizzorz,FinalMouse Air58 Ninja CBR,400,8.0%,8.0%,100.0%,100.0%,Alienware AW2518H,1920x1080,SteelSeries QcK+,Razer Huntsman Elite,HyperX Cloud Alpha
FaZe Clan,H1ghsky1,SteelSeries Aerox 3 Wireless Black,800,8.4%,8.4%,86.1%,85.4%,Acer GN246HL,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro Mini Black,SteelSeries Arctis 1
FaZe Clan,Replays,Glorious Model O White,1200,10.0%,7.0%,74.2%,75.8%,Alienware AW2518H,1920x1080,Custom Mousepad,Ducky One 3 Mini,SteelSeries Arctis Pro Wireless
FaZe Clan,Nate Hill,FinalMouse Starlight-12,800,8.0%,8.0%,45.0%,100.0%,Acer Predator XB252Q,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless
FaZe Clan,Sway,,,,,,,Alienware AW2521H,1920x1080,,,HyperX Cloud Alpha
FaZe Clan,EpikWhale,Logitech G Pro Wireless,800,7.0%,7.0%,30.0%,30.0%,ZOWIE XL2566K,1920x1080,The Mousepad Company Ichiba,SteelSeries Apex Pro Mini Black,beyerdynamic DT 990 Pro
FaZe Clan,Stable Ronaldo,FinalMouse Starlight-12,800,5.2%,5.2%,30.6%,31.4%,AlienWare AW2518HF,1920x1080,Corsair MM300,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro
G2 Esports,LeTsHe,,,,,,,AOC C24G1,1920x1080,,,Logitech G Pro X Wireless Headset
Complexity,Thiefs,Logitech G Pro X Superlight Black,800,7.5%,7.5%,100.0%,100.0%,Alienware AW2521HF,1920x1080,Glorious XXL,SteelSeries Apex Pro TKL (2023),SteelSeries Arctis Pro
Team Liquid,Pulga,Finalmouse Ultralight 2,3200,14.0%,14.0%,100.0%,100.0%,ASUS ROG SWIFT PG259QN,1920x1080,Artisan Hayate Otsu XSoft,SteelSeries Apex Pro TKL,Logitech G935
Fnatic,POW3R,VAXEE ZYGEN NP-01,400,11.6%,11.6%,70.0%,70.0%,ASUS ROG SWIFT PG258Q,1920x1080,Fnatic DASH,Fnatic miniSTREAK,Sennheiser HD800 S
Ninjas in Pyjamas,Refsgaard,Logitech G Pro X Superlight Black,800,6.9%,6.9%,35.0%,50.0%,ZOWIE XL2546K,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud II
Elite Esports,Alliege,,,,,,,,1920x1080,,,ASTRO A40
Elite Esports,Muz,ZOWIE U2,1600,3.5%,3.5%,49.6%,50.0%,Alienware AW2521HF,1920x1080,4D Gaming TESSERACT,SteelSeries Apex Pro Mini Black,HyperX Cloud Flight S
Elite Esports,Pxlarized,Logitech G Pro X Superlight 2 Black,800,4.4%,4.4%,30.0%,30.0%,Acer Nitro XV252QF,1920x1080,Lethal Gaming Gear Jupiter,SteelSeries Apex Pro Mini Black,HyperX Cloud Revolver S
Ovation Esports,vicotryona,Razer Viper Mini Signature Edition,800,5.5%,5.5%,30.0%,30.0%,ASUS ROG SWIFT PG259QN,1920x1080,Custom Mousepad,Wooting 60 HE,HyperX Cloud II
TT9 Esports,Wolfiez,,,,,,,Omen X25F,1920x1080,,,HyperX Cloud Alpha
Gaimin Gladiators,Kami,Logitech G Pro X Superlight 2 Black,800,15.5%,15.5%,54.0%,54.0%,LG UltraGear 27GR95QE-B,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro Mini Black,beyerdynamic DT 990 Pro
CGN Esports,Jannis,Razer Viper Mini Signature Edition,800,6.5%,6.5%,60.0%,70.0%,Acer Predator XB252Q,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
Galaxy Racer,Queasy,Logitech G Pro X Superlight Black,800,6.8%,6.5%,35.0%,37.0%,Alienware AW2518H,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL (2023),beyerdynamic DT 990 Pro
Galaxy Racer,Malibuca,Logitech G Pro X Superlight 2 Black,800,8.0%,8.0%,50.1%,50.1%,ASUS TUF VG259QM,1920x1080,Artisan Hayate Otsu XSoft,SteelSeries Apex Pro TKL (2023),Logitech G PRO X 2 Headset Black
Dignitas,pgod,Logitech G Pro X Superlight Black,800,8.0%,8.0%,45%,43%,Alienware AW2521HF,1920x1080,ESPTIGER LongTeng,Wooting 60 HE,HyperX Cloud II Gun Metal
Dignitas,Khanada,Logitech G Pro X Superlight Black,800,8.0%,8.0%,40.0%,40.0%,ZOWIE XL2546,1920x1080,Logitech G840,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
Dignitas,Bugha,Razer Deathadder V3 Pro Black,800,6.3%,6.3%,45.0%,45.0%,ASUS ROG SWIFT PG259QN,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,EPOS PC38X
Dignitas,Dukez,Logitech G Pro X Superlight Red,400,12.8%,12.8%,34%,34%,Alienware AW2521HF,1920x1080,The Mousepad Company Chrysanthemums and Bee,Wooting 60 HE,HyperX Cloud II Wireless
Dignitas,Cooper,Razer Viper Mini Signature Edition,1600,2.9%,2.9%,50.0%,50.0%,Alienware AW2523HF,1920x1080,4D Gaming Enigma,SteelSeries Apex Pro Mini Black,Audio-Technica ATH-M50X
Heroic,Th0masHD,Logitech G Pro X Superlight Black,1600,5.0%,3.0%,37.0%,37.0%,ZOWIE XL2411T,1920x1080,Logitech G840,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
Wave Esports,Vadeal,Logitech G Pro X Superlight Black,800,8.0%,8.0%,72.0%,100.0%,ZOWIE XL2566K,1920x1080,Havit XXXL,Logitech G Pro X TKL Keyboard Black,Logitech G Pro X Headset
Giants,LOLiTO FDEZ,Razer Viper V2 Pro Black,800,9.2%,9.2%,65.0%,65.0%,ZOWIE XL2540,1920x1080,Razer Gigantus,Ducky One 2 Mini,beyerdynamic DT 990 Pro
X2 Twins,Jesse,Logitech G Pro X Superlight Black,400,12.0%,12.0%,50.0%,50.0%,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Blue,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro
